STORED_PROCEDURE,PIVOT,COL_SCAN,FILES_SCANNED,WINDOW_FUNCTIONS,IN_SPROC,TABLE_ROWS,USAGE_TRACKING_REWRITERULES,STATEMENT_TYPE_ID,AGGREGATION_PLACEMENT,SAMPLE_CLAUSE,FILTER_PULLUP_FLATTEN,DUR_COMPILING,WAREHOUSE_SIZE,UNPIVOT,IS_RESTART,RECURSIVE_WITH,CONNECT_BY,LIMIT_PROJECTION_PUSHDOWN,FILTER_PUSHDOWN,LIMIT_NARY_UNION_ALL_PUSHDOWN,RUNTIME_PRUNING_MULTIPLE_BLOOM_FILTERS,IS_CACHE_HIT,NUM_TABLES,COL_PART_KEY,COL_JOIN_KEY,BYTES_SCANNED,TABLE_FILES,TOTAL_DURATION,FILTER_PUSHDOWN_FLATTEN,JAVASCRIPT,COL_GROUP_KEY,PRODUCED_ROWS,BLOOM_FILTER_HASH_SHARING,STORED_PROCEDURE_CHILD_JOB,JOIN_SKEW_HANDLING,BCAST_FAST_HT_MERGE,SMART_SCAN,USAGE_TRACKING_COMPILE,COL_JOIN_FILTER,AGGREGATION_ELIMINATION,DUR_GS_EXECUTING,SERVER_COUNT,USAGE_TRACKING_VISITORS,ROWS_SCANNED,IN_TASK,USAGE_TRACKING_IOEVENTS,DUR_XP_EXECUTING,QUALIFY_CLAUSE,COL_PART_ORDER_KEY,NARY_UNION_ALL,COL_PRUNING,LIMIT_LEFT_OUTER_JOIN_PUSHDOWN,COL_ORDER_KEY,HAS_OLTP_FLAG,HAS_RESTART,GS_JOB_CREDITS,JOB_CREDITS,NUM_EXTERNAL_TABLES,NUM_MVS,NUM_DATA_SHARING_TABLES,JOB_CREDITS.1,NUM_MVS_ON_EXTERNAL_TABLES,NUM_COPY_TARGET_TABLES,NUM_DATA_LAKE_TARGET_TABLES,VARIANT_COLUMN_ACCESS,QUEUE_TIME,XP_JOB_CREDITS,NUM_SO_MVS,NUM_CLUSTERED_OBJECTS,LATEST_CLUSTER_NUMBER,GS_MICRO_CREDITS,IO_REMOTE_EXTERNAL_WRITE_BYTES,JOB_WRITE_BYTES,JOB_READ_BYTES,NUM_CLONED_OBJECTS,FILES_CREATED,FILES_REGISTERED,GS_COPY_LOADABLE_EXTERNAL_FILES,FILTERED_FILES,STATS_FILES_SCANNED,NUM_MASKED_TABLES,SCAN_RSO,NUM_SHARED_TABLES_WITH_JOBS,NUM_TABLES_IN_SHARE,IS_ACCELERATED,NUM_TABLES_WITH_DS_TOOL_JOBS,FILES_ASSIGNED_TO_SCAN,EXTERNAL_FUNCTIONS,PYTHON_FUNCTIONS,JAVA_FUNCTIONS,NUM_ACCOUNT_USAGE_TABLES,NUM_TAGGED_TABLES,PYTHON_DS_FUNCTIONS
-1,-1,2,0,-1,0,0,-1,12544,-1,-1,-1,54,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,438,-1,-1,0,67,-1,-1,-1,-1,-1,-1,0,-1,50,1,-1,0,0,-1,126,-1,0,-1,0,-1,0,0,0,4.7e-05,0.0001474666667,0,0,0,0.0001474666667,0,0,0,0,0,0.0001004666667,0,0,0.0,47,0,6144,3072,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,42,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,96,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,10,1,-1,0,0,-1,11,-1,0,-1,0,-1,0,0,0,1.3e-05,1.3e-05,0,0,0,1.3e-05,0,0,0,0,0,0.0,0,0,2.0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1,-1,4,0,-1,0,0,-1,12544,-1,-1,-1,58,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,399,-1,-1,0,5278,-1,-1,-1,-1,-1,-1,0,-1,63,1,-1,0,0,-1,76,-1,0,-1,0,-1,0,0,0,4.7e-05,0.000166,0,0,0,0.000166,0,0,0,0,0,0.000119,0,0,0.0,47,0,574464,287232,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,27,1548,-1,0,8391096,-1,12544,-1,-1,-1,501,32,-1,0,-1,-1,-1,-1,-1,-1,0,2,0,4,6378460672,17829,10346,-1,-1,2,944,-1,-1,-1,-1,-1,-1,3,-1,109,32,-1,4970926,0,-1,9453,-1,0,-1,1,-1,2,0,0,0.000136,0.09787078222,0,0,0,0.09787078222,0,0,0,0,0,0.09773478222,0,0,0.0,136,155508640,3808743328,3350821376,0,157,157,0,0,1605,0,68264,0,0,0,0,1605,0,0,1,0,0,0
-1,-1,2,0,-1,1,0,-1,12544,-1,-1,-1,20,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,520,-1,-1,0,2,-1,-1,-1,-1,-1,-1,0,-1,59,1,-1,0,1,-1,88,-1,0,-1,0,-1,0,0,0,6.3e-05,7.766333333e-05,0,0,0,7.766333333e-05,0,0,0,0,0,1.466333333e-05,0,0,0.0,63,0,3072,1024,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,57,1,-1,0,28,-1,12544,-1,-1,-1,88,2,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,28160,1,526,-1,-1,0,10964,-1,-1,-1,-1,-1,-1,0,-1,62,2,-1,28,0,-1,265,-1,0,-1,1,-1,0,0,0,4e-05,0.0001024,0,0,0,0.0001024,0,1,0,0,0,6.24e-05,0,0,1.0,40,0,1240736,441344,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
-1,-1,19,0,-1,0,0,-1,12544,-1,-1,-1,89,2,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,516,-1,-1,0,7468,-1,-1,-1,-1,-1,-1,0,-1,67,1,-1,0,0,-1,228,-1,0,-1,0,-1,0,0,0,4.2e-05,0.00026094,0,0,0,0.00026094,0,0,0,0,0,0.00021894,0,0,0.0,42,0,1780736,885760,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,5,0,-1,0,0,-1,12544,-1,-1,-1,96,8,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,397,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,12,1,-1,0,0,-1,152,-1,0,-1,5,-1,0,0,0,3.7e-05,0.0001260333333,0,0,0,0.0001260333333,0,0,0,2,0,8.903333333e-05,0,0,2.0,37,0,5120,439296,0,1,1,0,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,26,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,260,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,27,1,-1,0,0,-1,63,-1,0,-1,0,-1,0,0,0,2.9e-05,6.193333333e-05,0,0,0,6.193333333e-05,0,0,0,0,0,3.293333333e-05,0,0,0.0,29,0,6144,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,26,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,320,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,44,1,-1,0,0,-1,95,-1,0,-1,0,-1,0,0,0,3.4e-05,9.058333333e-05,0,0,0,9.058333333e-05,0,0,0,0,0,5.658333333e-05,0,0,0.0,34,0,6144,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
