col_name,col_value
USAGE_TRACKING_COMPILE,TRUE
APPROX_TOP_K,1
+,1
COL_JOIN_FILTER,FALSE
SHA1_HEX,1
BIT_XOR,1
SYSTEM$GET_QUERY_REPRO,1
BITOR,1
AGGREGATION_ELIMINATION,0
APPROX_TOP_K_COMBINE,1
SYSTEM$TO_FAT_EP,1
TIMEADD,1
IS_DATE,1
DUR_GS_EXECUTING,TRUE
HLL_ACCUMULATE,1
TAN,1
TIMEDIFF,1
TRUNCTIMESTAMPTODay,1
ST_MAKEPOLYGON_INTERNAL,1
WINDOW_FUNCTIONS,1
CASE,1
REGR_INTERCEPT,1
IS NOT NULL,1
TRY_BASE64_DECODE_STRING,1
XMLGET,1
JAVASCRIPT_V,1
DATE_DIFFTIMESTAMPINHOURS,1
GETVARIABLE,1
STATEMENT_TYPE_ID,13056
IS_VARCHAR,1
LN,1
>=,1
SYSTEM$LIST_OUTBOUND_SHARES_DETAILS,1
LASTDAYOFMONTH,1
SYSTEM$NULL_TO_TIMESTAMP_NTZ,1
ACOSH,1
BITAND_AGG,1
TIME_FROM_PARTS,1
BLOOM_FILTER_HASH_SHARING,1
LEAD,1
ST_DWITHIN_LNGLAT_ROUND,1
DATEDIFF,1
SYSTEM$GET_CMK_KMS_KEY_POLICY,1
COUNT,1
COT,1
SYSTEM$DUMP_ENUM,1
TRIM,1
UDT_TO_UNDERLYING,1
SYSTEM$NULL_TO_FIXED,1
TRY_TO_NUMERIC,1
LOG,1
TO_XML,1
NULLIF,1
OBJECT_INSERT,1
ST_COLLECT_array,1
ST_YMIN_INTERNAL,1
SERVER_COUNT,FALSE
CURRENT_REGION,1
DATE_ADDMONTHSTOTIMESTAMP,1
NUM_TABLES,TRUE
OBJECT_CONSTRUCT(*),1
COLLATE,1
WEEKOFYEAR,1
TO_DECIMAL,1
BOOLXOR,1
GROUPING_ID,1
DATE_ADDDAYSTODATE,1
TRY_HEX_DECODE_STRING,1
Get_Relative_Path,1
CHARINDEX,1
TRY_TO_BOOLEAN,1
PIVOT,1
USAGE_TRACKING_VISITORS,FALSE
SYSTEM$DICT_ID,1
CURRENT_DATE,1
NVL2,1
WAREHOUSE_SIZE,1
SEQ2,1
ASCII,1
APPROX_COUNT_DISTINCT,1
BITSHIFTRIGHT,1
TRUNCTIMESTAMPTOYEAR,1
SEQ4,1
UNPIVOT,1
ARRAY_AGG,1
SOUNDEX,1
GET_PATH,1
SYSTEM$STREAM_GET_TABLE_TIMESTAMP,1
NVL,1
SF_ALL_PRIVILEGES,1
ARRAYAGG,1
GET_IGNORE_CASE,1
REGR_COUNT,1
STDDEV,1
STATEMENT_TYPE_ID,26881
NEXT_DAY,1
UNIFORM,1
BOOLAND,1
BOOLOR_AGG,1
CORR,1
TIMESTAMP_FROM_PARTS,1
FILTER_PULLUP_FLATTEN,0
JOIN_SKEW_HANDLING,0
IS_TIMESTAMP_LTZ,1
ROWS_SCANNED,FALSE
SMART_SCAN,1
ARRAY_APPEND,1
MOD,1
IN_TASK,FALSE
SYSTEM$SET_SESSION_PARAMETERS,1
ARRAY_COMPACT,1
DATE_ADDWEEKSTODATE,1
SYSTEM$CURRENT_USER_TASK_NAME,1
TIMESTAMP_TZ_FROM_PARTS,1
HEX_ENCODE,1
SESSION_CONTEXT,1
RTRIM,1
